"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 14:32:20 GMT 2023","Tue Feb 28 14:32:20 GMT 2023","196","","Friday App","","","","displays an info that today is Friday",""
"passed","Tue Feb 28 14:32:21 GMT 2023","Tue Feb 28 14:32:22 GMT 2023","459","","Friday App API","","","","returns 200 for minutesToFriday",""
"passed","Tue Feb 28 14:32:18 GMT 2023","Tue Feb 28 14:32:20 GMT 2023","2225","","Friday App","","","","displays an info that today is not Friday",""
"passed","Tue Feb 28 14:32:21 GMT 2023","Tue Feb 28 14:32:21 GMT 2023","487","","Friday App API","","","","returns 200 for isFriday",""
"passed","Tue Feb 28 14:32:20 GMT 2023","Tue Feb 28 14:32:21 GMT 2023","237","","Friday App","","","","displays how long should I wait for Friday",""
