"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 18:06:52 GMT 2023","Tue Feb 28 18:06:52 GMT 2023","244","","Friday App","","","","displays an info that today is Friday",""
"passed","Tue Feb 28 18:06:49 GMT 2023","Tue Feb 28 18:06:52 GMT 2023","3313","","Friday App","","","","displays an info that today is not Friday",""
"passed","Tue Feb 28 18:06:52 GMT 2023","Tue Feb 28 18:06:54 GMT 2023","1182","","Friday App API","","","","returns 200 for isFriday",""
"passed","Tue Feb 28 18:06:54 GMT 2023","Tue Feb 28 18:06:54 GMT 2023","590","","Friday App API","","","","returns 200 for minutesToFriday",""
"passed","Tue Feb 28 18:06:52 GMT 2023","Tue Feb 28 18:06:52 GMT 2023","264","","Friday App","","","","displays how long should I wait for Friday",""
